|1167||tetõvez. tartó körlap+Niro 8mm|VI|db|50|1250|4059273005225|73269098|0.111
|1167S1||tetõvez.tartó körlap+Niro Rd 10mm,V2A|VI|db|50|1361|4059273055244|73269098|0.111
|1175||tetõvez.tartó körlap,Niro 100mm, Rd|VI|db|50|2694|4059273005270|73269098|0.139
|1178||lapos szalagtaró 30mm V2A  8mm dübel|VI|db|100|707|4059273005294|73269098|0.023
|1180||szalagtartó horganyzott acél+cs+t|VI|db|100|848|4059273005317|73269098|0.065
|1181||szalagtartó horganyzott acél+cs+t V2A|VI|db|100|1302|4059273005324|73269098|0.091
|1183||szalagtartó 30mm szalaghoz, horgany|VI|db|100|911|4059273005348|73269098|0.066
|1184||vezetéktartó V2A+cs+t.|VI|db|100|1130|4059273005355|73269098|0.067
|1185||vezetéktartó Al cs+t.|VI|db|100|820|4059273005362|76169990|0.037
|1187||rúdtartó 16/30mm, Al-mûa.|VI|db|100|955|4059273005379|76169990|0.041
|1188||rúdtartó 16mm réz+cs+t. 30|VI|db|100|1281|4059273005386|74199990|0.071
|1189||rúdtartó 16mm V2A+cs+t. 30|VI|db|100|1231|4059273005393|73269098|0.073
|1190||rúdtartó 16mm horg. acél+cs+t. 30|VI|db|100|917|4059273005409|73269098|0.075
|1194||rúdtartó 13/30 cs+t|VI|db|100|1029|4059273005447|73269098|0.073
|1195||rúdtartó 16mm 100mm StFz|VI|db|50|930|4059273005454|73269098|0.115
|1196||rúdtartó 16mm 150mm StFz|VI|db|50|1042|4059273005461|73269098|0.127
|1240||csõbilincs 3/8"|VI|db|25|1303|4059273005546|73269098|0.197
|1241||csõbilincs 1/2"|VI|db|25|1375|4059273005553|73269098|0.203
|1242||csõbilincs 3/4"|VI|db|25|1413|4059273005560|73269098|0.223
|1243||csõbilincs 1"|VI|db|25|1488|4059273005577|73269098|0.245
|1244||csõbilincs 1.1/4"|VI|db|25|1511|4059273005584|73269098|0.26
|1245||csõbilincs 1.1/2"|VI|db|25|1563|4059273005591|73269098|0.328
|1246||csõbilincs 2"|VI|db|25|1680|4059273005607|73269098|0.318
|1247||csõbilincs 2.1/2"|VI|db|25|1747|4059273005614|73269098|0.378
|1248||csõbilincs 3"|VI|db|25|1822|4059273005621|73269098|0.41
|1249||csõbilincs 1.3/4"|VI|db|25|1585|4059273005638|73269098|0.308
|1250||rúdtartó kúpcserépre,V2A+felfogórúd Al 1000mm Rd 10/16mm|VI|db|1|11406|4059273174143|85354000|0.487
